hub,degree_centrality
IND000000ACB,0.056763285024154585
IND562132AAA,0.0428743961352657
IND160002AAC,0.03683574879227053
IND421302AAG,0.03502415458937198
IND501359AAE,0.034420289855072464
IND712311AAA,0.027777777777777776
IND110037AAM,0.02717391304347826
IND411033AAA,0.025966183574879224
IND131028AAB,0.024154589371980676
IND600056AAB,0.021739130434782608
IND781018AAB,0.01932367149758454
IND382430AAB,0.018115942028985508
IND560099AAB,0.01751207729468599
IND209304AAA,0.01751207729468599
IND842001AAA,0.016304347826086956
IND000000ACA,0.013285024154589372
IND462022AAA,0.013285024154589372
IND400072AAB,0.013285024154589372
IND302014AAB,0.012681159420289854
IND530012AAA,0.012681159420289854
